SimDay,SimHour,MetricDate,QueryName,QueryVariant,CPU,LatencyMs,LogicalReads,PlanRegression
1,0,2025-07-04 00:00:00,Q1,1,53.43266313836548,186.49494656639837,,False
1,0,2025-07-04 00:00:00,Q1,2,57.97527440628686,193.76312499740393,157.57301335734286,True
1,0,2025-07-04 00:00:00,Q1,3,55.82985514556731,190.33045404614222,161.99851033388637,False
1,0,2025-07-04 00:00:00,Q1,4,52.64647485040404,185.23704490332872,165.17845406909743,True
1,0,2025-07-04 00:00:00,Q1,5,55.02950070496933,189.04988613652273,175.03808518398273,False
1,0,2025-07-04 00:00:00,Q2,1,59.43266367480728,196.09494903403066,152.32188521813663,False
1,0,2025-07-04 00:00:00,Q2,2,63.97527494272865,203.3631274650362,164.77301882904925,True
1,0,2025-07-04 00:00:00,Q2,3,61.829855682009104,199.9304565137745,169.19851580559276,False
1,0,2025-07-04 00:00:00,Q2,4,58.64647681735732,194.83704965977938,,True
1,0,2025-07-04 00:00:00,Q2,5,61.02950267192261,,182.2380902265357,False
1,1,2025-07-04 01:00:00,Q1,1,54.31362568212456,187.90451131273585,146.17906162103128,False
1,1,2025-07-04 01:00:00,Q1,2,,191.97450472124382,156.23155574981502,True
1,1,2025-07-04 01:00:00,Q1,3,53.73317465055837,186.97578993045084,159.48251984671006,False
1,1,2025-07-04 01:00:00,Q1,4,51.49099005298089,183.38829819530906,,True
1,1,2025-07-04 01:00:00,Q1,5,55.869853718610756,,176.04653490718687,False
1,1,2025-07-04 01:00:00,Q2,1,60.31362764907784,197.5045203607209,153.37906666358424,False
1,1,2025-07-04 01:00:00,Q2,2,62.85737184742677,201.5745114804106,163.43155979100993,True
1,1,2025-07-04 01:00:00,Q2,3,59.73317518700018,196.57579668961756,166.682523887905,False
1,1,2025-07-04 01:00:00,Q2,4,57.490990589422694,192.98830066294136,170.99190174496323,True
1,1,2025-07-04 01:00:00,Q2,5,61.86985425505255,199.99448239383867,,False
1,2,2025-07-04 02:00:00,Q1,1,54.65845421889934,188.45626593943288,146.59288483301842,False
1,2,2025-07-04 02:00:00,Q1,2,55.302572755703025,189.48685600065014,154.36582788184555,True
1,2,2025-07-04 02:00:00,Q1,3,51.68510093077876,183.69890094666087,157.0248617813434,False
1,2,2025-07-04 02:00:00,Q1,4,50.80950657713536,182.29794931027917,162.97414864637827,True
1,2,2025-07-04 02:00:00,Q1,5,57.15838912721188,192.45616125629115,177.59280779587706,False
1,2,2025-07-04 02:00:00,Q2,1,,198.05626840706518,153.7928881589576,False
1,2,2025-07-04 02:00:00,Q2,2,61.30257329214483,199.08685846828243,161.565830492529,True
1,2,2025-07-04 02:00:00,Q2,3,57.68510146722056,193.29890341429316,,False
1,2,2025-07-04 02:00:00,Q2,4,56.80950854408864,191.8979540667298,170.17415368893123,True
1,2,2025-07-04 02:00:00,Q2,5,63.158391094165154,202.05616601274178,184.79281283843002,False
1,3,2025-07-04 03:00:00,Q1,1,54.44195920263558,188.1098985897338,146.33311548982485,False
1,3,2025-07-04 03:00:00,Q1,2,53.41515126598718,186.46700629342772,152.100945339998,True
1,3,2025-07-04 03:00:00,Q1,3,49.82352239905937,180.72039997223277,154.79099078909158,False
1,3,2025-07-04 03:00:00,Q1,4,50.64678196897141,182.0376189050742,162.778902362393,True
1,3,2025-07-04 03:00:00,Q1,5,58.805610945511745,195.0917451334283,179.56949722364837,False
1,3,2025-07-04 03:00:00,Q2,1,60.441961169588865,197.70990763771889,153.5331205323778,False
1,3,2025-07-04 03:00:00,Q2,2,59.41515180242898,196.06701305259443,,True
1,3,2025-07-04 03:00:00,Q2,3,55.823522935501174,,161.9909948302865,False
1,3,2025-07-04 03:00:00,Q2,4,56.64678250541321,191.6376213727065,169.9789056883322,True
1,3,2025-07-04 03:00:00,Q2,5,64.80561148195355,204.6917476010606,186.76950054958755,False
1,4,2025-07-04 04:00:00,Q1,1,53.67611494372011,186.88457674332642,145.4141284859607,False
1,4,2025-07-04 04:00:00,Q1,2,,183.1163074844969,149.5879299057757,True
1,4,2025-07-04 04:00:00,Q1,3,48.27251746417738,178.23882104427898,152.9298152656021,False
1,4,2025-07-04 04:00:00,Q1,4,51.01112054986477,182.62058531082653,,True
1,4,2025-07-04 04:00:00,Q1,5,60.69647863700049,,181.83856885180373,False
1,4,2025-07-04 04:00:00,Q2,1,59.67611548016192,196.48457921095874,152.6141318118999,False
1,4,2025-07-04 04:00:00,Q2,2,57.320946941936356,192.7163099521292,156.7879296554362,True
1,4,2025-07-04 04:00:00,Q2,3,54.27251800061919,187.8388235119113,160.12981501526258,False
